v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[Nm]
0.000	0.000	0.034785	0.002752	0.000102	9.999999	9.999999	0.04	0.02	0.00 !	0.00	2000	8.230	1.3505	39.30
0.050	0.016	0.018765	0.004236	0.149138	9.999999	9.999999	22.15	36.38	50.00 !	3.85	2000	12.667	0.7285	60.48
0.100	0.032	0.006958	0.003451	0.310751	1.771961	8.787748	20.16	74.98	50.00	7.70	2000	10.321	0.2702	49.28
0.110	0.035	0.006539	0.003375	0.343358	1.376185	6.456421	21.31	78.63	50.00	8.47	2000	10.093	0.2539	48.19
0.160	0.051	0.004091	0.002951	0.513023	0.406896	1.834404	22.18	91.44	50.00	12.33	2000	8.824	0.1588	42.13
0.210	0.067	0.001370	0.002427	0.700168	0.079094	0.667372	11.85	98.08	50.00	16.18	2000	7.259	0.0532	34.66
0.220	0.070	0.000804	0.002308	0.740938	0.042316	0.551921	7.67	98.95	50.00	16.95	2000	6.902	0.0312	32.95
0.230	0.073	0.000225	0.002185	0.783169	0.010841	0.457212	2.37	99.73	50.00	17.72	2000	6.533	0.0087	31.19
0.240	0.076	-0.000353	0.002057	0.827105	-0.015605	0.378931	0.00	99.99	50.00	18.49	2000	6.152	-0.0137	29.37
0.250	0.080	-0.000974	0.001920	0.873567	-0.039688	0.312852	0.00	99.99	50.00	19.26	2000	5.741	-0.0378	27.41
0.260	0.083	-0.001584	0.001780	0.922289	-0.059655	0.257960	0.00	99.99	50.00	20.03	2000	5.325	-0.0615	25.42
0.270	0.086	-0.002291	0.001635	0.974268	-0.080013	0.211483	0.00	99.99	50.00	20.80	2000	4.889	-0.0889	23.34
0.280	0.089	-0.002921	0.001485	1.029946	-0.094884	0.172260	0.00	99.99	50.00	21.57	2000	4.441	-0.1134	21.20
0.290	0.092	-0.003566	0.001329	1.090701	-0.107969	0.138742	0.00	99.99	50.00	22.34	2000	3.974	-0.1384	18.97
0.300	0.095	-0.004235	0.001166	1.158229	-0.119823	0.109954	0.00	99.99	50.00	23.11	2000	3.487	-0.1644	16.65
0.310	0.099	-0.004948	0.000999	1.234418	-0.131124	0.085379	0.00	99.99	50.00	23.88	2000	2.987	-0.1921	14.26
0.320	0.102	-0.005626	0.000825	1.323986	-0.139904	0.064095	0.00	99.99	50.00	24.65	2000	2.467	-0.2184	11.78
0.330	0.105	-0.006312	0.000639	1.436988	-0.147608	0.045259	0.00	99.99	50.00	25.42	2000	1.910	-0.2451	9.12
0.340	0.108	-0.007039	0.000447	1.590156	-0.155056	0.028953	0.00	99.99	50.00	26.19	2000	1.336	-0.2733	6.38
0.350	0.111	-0.007756	0.000254	1.833240	-0.161237	0.015065	0.00	99.99	50.00	26.96	2000	0.759	-0.3011	3.62
0.360	0.115	-0.008527	0.000049	2.617048	-0.167549	0.002688	0.00	99.99	50.00	27.73	2000	0.147	-0.3311	0.70
0.370	0.118	-0.009301	-0.000160	2.125465	-0.173013	-0.008037	0.80	58.22	50.00	28.50	2000	-0.478	-0.3611	-2.28
