v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.168036	1.469910	0.000029	9.999999	9.999999	0.00	0.01	95.00 !	0.00	2000	4.396	6.524	20.990
0.100	0.032	0.100187	0.576134	0.111659	9.999999	9.999999	1.74	32.11	95.00 !	7.70	2000	1.723	3.890	8.227
0.200	0.064	0.109636	0.637433	0.218848	6.979651	9.999999	3.44	51.55	95.00 !	15.41	2000	1.906	4.256	9.102
0.300	0.095	0.117353	0.699280	0.322249	3.320407	9.999999	5.03	63.98	85.00	23.11	2000	2.091	4.556	9.985
0.400	0.127	0.122102	0.750235	0.423663	1.943312	9.999999	6.51	72.49	85.00	30.81	2000	2.244	4.740	10.713
0.500	0.159	0.124889	0.799847	0.522840	1.272109	9.999999	7.81	78.48	85.00	38.52	2000	2.392	4.849	11.421
0.600	0.191	0.126096	0.849196	0.619940	0.891945	9.999999	8.91	82.82	85.00	46.22	2000	2.540	4.895	12.126
0.700	0.223	0.125682	0.898620	0.715126	0.653155	6.671479	9.79	86.08	85.00	53.92	2000	2.687	4.879	12.832
0.800	0.255	0.124039	0.948470	0.808510	0.493537	4.717301	10.46	88.56	85.00	61.63	2000	2.837	4.816	13.544
0.900	0.286	0.121828	0.999509	0.900088	0.383004	3.491399	10.97	90.47	85.00	69.33	2000	2.989	4.730	14.273
1.000	0.318	0.119822	1.054313	0.989478	0.305125	2.684786	11.36	91.91	85.00	77.03	2000	3.153	4.652	15.055
1.100	0.350	0.120744	1.118828	1.075573	0.254109	2.140551	11.87	92.88	85.00	84.74	2000	3.346	4.688	15.976
1.200	0.382	0.138906	1.228137	1.151680	0.245640	1.809852	13.57	92.82	83.00	92.44	2000	3.673	5.393	17.537
1.300	0.414	0.155292	1.343206	1.225504	0.233993	1.556871	15.03	92.85	83.00	100.14	2000	4.017	6.029	19.180
1.400	0.446	0.168656	1.461766	1.297635	0.219122	1.356544	16.15	92.98	83.00	107.85	2000	4.372	6.548	20.873
1.500	0.477	0.180067	1.582708	1.368394	0.203794	1.194172	17.07	93.15	83.00	115.55	2000	4.733	6.991	22.600
1.600	0.509	0.188537	1.706544	1.437793	0.187541	1.060957	17.68	93.38	80.00	123.25	2000	5.104	7.320	24.369
1.700	0.541	0.199157	1.817377	1.508551	0.175485	0.941973	18.63	93.49	80.00	130.96	2000	5.435	7.732	25.951
1.800	0.573	0.214916	1.888652	1.585047	0.168913	0.824659	20.48	93.44	80.00	138.66	2000	5.648	8.344	26.969
1.900	0.605	0.231553	1.942824	1.663669	0.163337	0.721295	22.64	93.35	77.00	146.36	2000	5.810	8.990	27.743
2.000	0.637	0.247565	1.999908	1.741117	0.157605	0.636590	24.76	93.27	77.00	154.07	2000	5.981	9.611	28.558
2.100	0.668	0.262883	2.060158	1.817353	0.151798	0.566478	26.80	93.20	77.00	161.77	2000	6.161	10.206	29.418
2.200	0.700	0.277286	2.123683	1.892364	0.145889	0.507881	28.73	93.14	77.00	169.47	2000	6.351	10.765	30.325
2.300	0.732	0.290838	2.190320	1.966194	0.140003	0.458421	30.54	93.10	77.00	177.18	2000	6.551	11.291	31.277
2.400	0.764	0.303642	2.260244	2.038826	0.134239	0.416353	32.24	93.06	73.00	184.88	2000	6.760	11.788	32.275
2.500	0.796	0.315721	2.333756	2.110226	0.128636	0.380343	33.82	93.03	73.00	192.58	2000	6.980	12.257	33.325
2.600	0.828	0.326922	2.410468	2.180485	0.123151	0.349238	35.26	93.00	73.00	200.29	2000	7.209	12.692	34.420
2.700	0.859	0.336833	2.490100	2.249678	0.117660	0.322156	36.52	93.00	73.00	207.99	2000	7.447	13.077	35.557
2.800	0.891	0.346022	2.572665	2.317829	0.112390	0.298435	37.66	92.99	73.00	215.69	2000	7.694	13.434	36.736
2.900	0.923	0.354581	2.658409	2.384919	0.107364	0.277567	38.68	92.99	69.00	223.40	2000	7.950	13.766	37.961
3.000	0.955	0.362568	2.747611	2.450926	0.102586	0.259138	39.59	93.00	69.00	231.10	2000	8.217	14.076	39.235
3.100	0.987	0.371616	2.840707	2.515802	0.098472	0.242818	40.55	92.97	64.00	238.80	2000	8.496	14.427	40.564
3.200	1.019	0.378704	2.937554	2.579603	0.094176	0.228284	41.25	92.97	64.00	246.51	2000	8.785	14.703	41.947
3.300	1.050	0.385389	3.038378	2.642321	0.090118	0.215298	41.86	92.98	59.00	254.21	2000	9.087	14.962	43.387
3.400	1.082	0.391775	3.143524	2.703931	0.086302	0.203667	42.37	92.98	53.00	261.91	2000	9.401	15.210	44.888
3.500	1.114	0.397933	3.253861	2.764320	0.082721	0.193257	42.80	92.98	53.00	269.62	2000	9.731	15.449	46.464
