# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
9

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,TNWQWZQSLZ,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -1.480000000000000071e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,31,17
# x,y,z,u,w
-1.480000000000000071e+01, 7.500000000000000000e-01, -1.449999999999999956e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
-1.480000000000000071e+01, 6.910222877395499896e-01, -1.741816863218649480e+00, 0.000000000000000000e+00, 2.500000000000000000e-01
-1.480000000000000071e+01, 5.302261006387998243e-01, -1.980226100638800002e+00, 0.000000000000000000e+00, 5.000000000000000000e-01
-1.480000000000000071e+01, 2.918168632186500244e-01, -2.141022287739549501e+00, 0.000000000000000000e+00, 7.500000000000000000e-01
-1.480000000000000071e+01, 0.000000000000000000e+00, -2.200000000000000178e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
-1.480000000000000071e+01, -2.918168632186499689e-01, -2.141022287739549057e+00, 0.000000000000000000e+00, 1.250000000000000000e+00
-1.480000000000000071e+01, -5.302261006387999354e-01, -1.980226100638799558e+00, 0.000000000000000000e+00, 1.500000000000000000e+00
-1.480000000000000071e+01, -6.910222877395502117e-01, -1.741816863218649702e+00, 0.000000000000000000e+00, 1.750000000000000000e+00
-1.480000000000000071e+01, -7.500000000000000000e-01, -1.449999999999999956e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
-1.480000000000000071e+01, -6.910222877395502117e-01, -1.158183136781350209e+00, 0.000000000000000000e+00, 2.250000000000000000e+00
-1.480000000000000071e+01, -5.302261006387999354e-01, -9.197738993612001313e-01, 0.000000000000000000e+00, 2.500000000000000000e+00
-1.480000000000000071e+01, -2.918168632186499689e-01, -7.589777122604505211e-01, 0.000000000000000000e+00, 2.750000000000000000e+00
-1.480000000000000071e+01, 0.000000000000000000e+00, -6.999999999999999556e-01, 0.000000000000000000e+00, 3.000000000000000000e+00
-1.480000000000000071e+01, 2.918168632186497469e-01, -7.589777122604500770e-01, 0.000000000000000000e+00, 3.250000000000000000e+00
-1.480000000000000071e+01, 5.302261006387998243e-01, -9.197738993612001313e-01, 0.000000000000000000e+00, 3.500000000000000000e+00
-1.480000000000000071e+01, 6.910222877395502117e-01, -1.158183136781350653e+00, 0.000000000000000000e+00, 3.750000000000000000e+00
-1.480000000000000071e+01, 7.500000000000000000e-01, -1.449999999999999956e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
-1.346299811598371221e+01, 1.374326655976682465e+00, -1.477119999999999989e+00, 2.000000000000000111e-01, 0.000000000000000000e+00
-1.342664706175589728e+01, 1.216848646793390110e+00, -1.965010917681515368e+00, 2.000000000000000111e-01, 2.500000000000000000e-01
-1.336072384789856571e+01, 8.629271725412779315e-01, -2.317507862745131320e+00, 2.000000000000000111e-01, 5.000000000000000000e-01
-1.331808210700141615e+01, 4.472379667725346897e-01, -2.470591406847281402e+00, 2.000000000000000111e-01, 7.500000000000000000e-01
-1.330506106690848966e+01, -1.591602435844999524e-16, -2.497786006059176778e+00, 2.000000000000000111e-01, 1.000000000000000000e+00
-1.331808210700141615e+01, -4.472379667725348007e-01, -2.470591406847280957e+00, 2.000000000000000111e-01, 1.250000000000000000e+00
-1.336072384789856571e+01, -8.629271725412775984e-01, -2.317507862745131320e+00, 2.000000000000000111e-01, 1.500000000000000000e+00
-1.342664706175589728e+01, -1.216848646793390110e+00, -1.965010917681516034e+00, 2.000000000000000111e-01, 1.750000000000000000e+00
-1.346299811598371221e+01, -1.374326655976682243e+00, -1.477120000000000211e+00, 2.000000000000000111e-01, 2.000000000000000000e+00
-1.342752401794643546e+01, -1.228747059486532400e+00, -9.843005984102731754e-01, 2.000000000000000111e-01, 2.250000000000000000e+00
-1.336411915609694390e+01, -8.798800279144560754e-01, -6.197792818816910687e-01, 2.000000000000000111e-01, 2.500000000000000000e+00
-1.332492167567017383e+01, -4.593447557834485773e-01, -4.544202189257804392e-01, 2.000000000000000111e-01, 2.750000000000000000e+00
-1.331369773346931495e+01, 1.251241610554736456e-16, -4.219804234815677235e-01, 2.000000000000000111e-01, 3.000000000000000000e+00
-1.332492167567017383e+01, 4.593447557834482442e-01, -4.544202189257802726e-01, 2.000000000000000111e-01, 3.250000000000000000e+00
-1.336411915609694390e+01, 8.798800279144554093e-01, -6.197792818816910687e-01, 2.000000000000000111e-01, 3.500000000000000000e+00
-1.342752401794643546e+01, 1.228747059486532622e+00, -9.843005984102736194e-01, 2.000000000000000111e-01, 3.750000000000000000e+00
-1.346299811598371221e+01, 1.374326655976682465e+00, -1.477119999999999989e+00, 2.000000000000000111e-01, 4.000000000000000000e+00
-1.160794325677137984e+01, 1.737881164358839214e+00, -1.528720000000000079e+00, 4.000000000000000222e-01, 0.000000000000000000e+00
-1.157740501249472231e+01, 1.550493361776724699e+00, -2.131528288119354464e+00, 4.000000000000000222e-01, 2.500000000000000000e-01
-1.152199021633847131e+01, 1.117333509855383822e+00, -2.580629672570992739e+00, 4.000000000000000222e-01, 5.000000000000000000e-01
-1.148606619112195659e+01, 5.830221181821348964e-01, -2.805033413993525571e+00, 4.000000000000000222e-01, 7.500000000000000000e-01
-1.147508218662384039e+01, -1.342895866331105052e-16, -2.860731942612430245e+00, 4.000000000000000222e-01, 1.000000000000000000e+00
-1.148606619112195659e+01, -5.830221181821351184e-01, -2.805033413993525571e+00, 4.000000000000000222e-01, 1.250000000000000000e+00
-1.152199021633847131e+01, -1.117333509855383156e+00, -2.580629672570992739e+00, 4.000000000000000222e-01, 1.500000000000000000e+00
-1.157740501249472231e+01, -1.550493361776723589e+00, -2.131528288119355796e+00, 4.000000000000000222e-01, 1.750000000000000000e+00
-1.160794325677137984e+01, -1.737881164358838992e+00, -1.528720000000000079e+00, 4.000000000000000222e-01, 2.000000000000000000e+00
-1.157914795241080341e+01, -1.571997983806428856e+00, -9.170042057822331838e-01, 4.000000000000000222e-01, 2.250000000000000000e+00
-1.152907073723509868e+01, -1.147936227195445413e+00, -4.462076100889455499e-01, 4.000000000000000222e-01, 2.500000000000000000e+00
-1.150054229339309941e+01, -6.048415580794764823e-01, -1.997297982829249197e-01, 4.000000000000000222e-01, 2.750000000000000000e+00
-1.149343156482408901e+01, 5.959113147493237823e-16, -1.346318838222393399e-01, 4.000000000000000222e-01, 3.000000000000000000e+00
-1.150054229339309941e+01, 6.048415580794765933e-01, -1.997297982829250307e-01, 4.000000000000000222e-01, 3.250000000000000000e+00
-1.152907073723509868e+01, 1.147936227195444969e+00, -4.462076100889454944e-01, 4.000000000000000222e-01, 3.500000000000000000e+00
-1.157914795241080341e+01, 1.571997983806429078e+00, -9.170042057822339610e-01, 4.000000000000000222e-01, 3.750000000000000000e+00
-1.160794325677137984e+01, 1.737881164358839214e+00, -1.528720000000000079e+00, 4.000000000000000222e-01, 4.000000000000000000e+00
-9.858388832369838539e+00, 1.926122957199064789e+00, -1.573120000000000074e+00, 5.999999999999999778e-01, 0.000000000000000000e+00
-9.845027348424466140e+00, 1.741333034631949106e+00, -2.237875436939635865e+00, 5.999999999999999778e-01, 2.500000000000000000e-01
-9.820601710931818218e+00, 1.281308523802683119e+00, -2.752104046586546726e+00, 5.999999999999999778e-01, 5.000000000000000000e-01
-9.804686054483198632e+00, 6.751090543350248829e-01, -3.048235347287679531e+00, 5.999999999999999778e-01, 7.500000000000000000e-01
